state,date,sex,age,ethnicity,population
Johor,1/1/2022,both,overall,overall,4028.3
Kedah,1/1/2022,both,overall,overall,2163.1
Kelantan,1/1/2022,both,overall,overall,1830.6
Melaka,1/1/2022,both,overall,overall,1008.6
Negeri Sembilan,1/1/2022,both,overall,overall,1207.9
Pahang,1/1/2022,both,overall,overall,1614.3
Perak,1/1/2022,both,overall,overall,2514.4
Perlis,1/1/2022,both,overall,overall,289.8
Pulau Pinang,1/1/2022,both,overall,overall,1740.9
Sabah,1/1/2022,both,overall,overall,3414.9
Sarawak,1/1/2022,both,overall,overall,2473.5
Selangor,1/1/2022,both,overall,overall,7050.3
Terengganu,1/1/2022,both,overall,overall,1186.6
W.P. Kuala Lumpur,1/1/2022,both,overall,overall,1961.2
W.P. Labuan,1/1/2022,both,overall,overall,96.9
W.P. Putrajaya,1/1/2022,both,overall,overall,117
