premise_id,premise_name,type,district
3318,GIANT BATU CAVES,Hypermarket,Gombak
5179,MYDIN SELAYANG,Hypermarket,Gombak
5318,ECONSAVE BANDAR BARU SUNGAI BULOH,Hypermarket,Gombak
5343,GIANT BUKIT ANTARABANGSA,Hypermarket,Gombak
7431,GIANT TAMAN PERMATA,Hypermarket,Gombak
3901,LOTUSS STORES,Hypermarket,Hulu Langat
18115,GIANT SERI KEMBANGAN,Hypermarket,Hulu Langat
20723,GIANT SUPERSTORE PRIMA SAUJANA,Hypermarket,Hulu Langat
3271,PASAR PAGI SELAYANG JAYA,Pasar Basah ,Gombak
3302,PASAR SELAYANG BARU,Pasar Basah ,Gombak
3541,PASAR PAGI SRI GOMBAK,Pasar Basah ,Gombak
8915,PASAR MINI SNOFA,Pasar Mini,Gombak
17609,PASAR MINI 99 SPEEDMART TAMAN SELAYANG JAYA,Pasar Mini,Gombak
18480,SEGI CASH & CARRY SDN BHD (GOMBAK),Pasar Raya / Supermarket,Gombak
3901,LOTUSS STORES,Hypermarket,Hulu Langat
18115,GIANT SERI KEMBANGAN,Hypermarket,Hulu Langat
20723,GIANT SUPERSTORE PRIMA SAUJANA,Hypermarket,Hulu Langat
18358,PASAR SEGAR IRADAH BRIPO,Kedai Runcit,Hulu Langat
18360,KEDAI RUNCIT JELOK JAYA (TAMAN INDAH),Kedai Runcit,Hulu Langat
4069,PASAR  BANGI,Pasar Basah ,Hulu Langat
4195,PASAR KAJANG,Pasar Basah ,Hulu Langat
4197,PASAR SEMENYIH,Pasar Basah ,Hulu Langat
16367,PASAR BORONG SELANGOR,Pasar Basah ,Hulu Langat
20722,PASAR SUNTEX,Pasar Basah ,Hulu Langat
18357,99 SPEEDMART TAMAN CANTIK,Pasar Mini,Hulu Langat
18359,SUPER SEVEN FRESHMART (TAMAN INDAH),Pasar Mini,Hulu Langat
20893,PASARAYA MINI ECONSAVE,Pasar Mini,Hulu Langat
18184,SUPER SEVEN CHERAS JAYA,Pasar Raya / Supermarket,Hulu Langat
18185,ECONSAVE JALAN REKO,Pasar Raya / Supermarket,Hulu Langat
18337,MYDIN TAMAN ANGGERIK,Pasar Raya / Supermarket,Hulu Langat
18350,PASARAYA SEGI FRESH SEMENYIH,Pasar Raya / Supermarket,Hulu Langat
